,Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT
0,April,1,00:00:00,1.0,5.0,0.0,0.0,137.6
1,April,1,00:30:00,1.0,5.0,0.0,0.0,263.4
2,April,1,01:00:00,1.0,4.0,0.0,0.0,333.25
3,April,1,01:30:00,1.0,3.0,0.0,0.0,170.0
4,April,1,02:00:00,1.0,1.0,0.0,0.0,667.0
5,April,1,02:30:00,1.0,4.0,0.0,0.0,416.5
6,April,1,03:00:00,1.0,1.0,0.0,0.0,128.0
7,April,1,03:30:00,1.0,4.0,0.0,0.0,158.0
8,April,1,05:00:00,,,,0.0,59.0
9,April,1,05:30:00,,,,0.0,178.0
10,April,1,06:00:00,,,,0.0,181.5
11,April,1,06:30:00,,,,0.5,166.0
12,April,1,07:00:00,,,,0.1429,386.83
13,April,1,07:30:00,,,,0.0,219.13
14,April,1,08:00:00,,,,0.0,256.89
15,April,1,08:30:00,,,,0.0,262.6
16,April,1,09:00:00,,,,0.0,315.74
17,April,1,09:30:00,0.9128,173.0,1.0,0.0058,316.33
18,April,1,10:00:00,0.9949,197.0,0.0,0.0,288.58
19,April,1,10:30:00,0.9864,221.0,0.0,0.0,330.24
20,April,1,11:00:00,1.0,267.0,0.0,0.0,280.94
21,April,1,11:30:00,0.9817,273.0,0.0,0.0,322.6
22,April,1,12:00:00,0.9754,245.0,1.0,0.0041,335.5
23,April,1,12:30:00,0.9572,258.0,1.0,0.0039,284.15
24,April,1,13:00:00,1.0,239.0,0.0,0.0,321.13
25,April,1,13:30:00,0.9958,238.0,0.0,0.0,328.56
26,April,1,14:00:00,0.9963,273.0,0.0,0.0,307.4
27,April,1,14:30:00,0.9927,274.0,0.0,0.0,307.11
28,April,1,15:00:00,0.9725,255.0,0.0,0.0,301.51
29,April,1,15:30:00,0.9412,259.0,4.0,0.0154,323.3
30,April,1,16:00:00,0.9883,259.0,2.0,0.0077,326.37
31,April,1,16:30:00,0.9894,284.0,0.0,0.0,330.98
32,April,1,17:00:00,0.9843,254.0,0.0,0.0,332.5
33,April,1,17:30:00,0.9948,191.0,0.0,0.0,322.13
34,April,1,18:00:00,0.9939,163.0,0.0,0.0,326.13
35,April,1,18:30:00,0.7545,171.0,4.0,0.0234,336.36
36,April,1,19:00:00,0.9259,108.0,0.0,0.0,347.57
37,April,1,19:30:00,0.96,75.0,0.0,0.0,324.07
38,April,1,20:00:00,0.9636,56.0,1.0,0.0179,350.62
39,April,1,20:30:00,0.7541,66.0,5.0,0.0758,350.28
40,April,1,21:00:00,0.6957,48.0,2.0,0.0417,387.59
41,April,1,21:30:00,1.0,26.0,0.0,0.0,291.92
42,April,1,22:00:00,1.0,27.0,0.0,0.0,269.37
43,April,1,22:30:00,0.6364,13.0,2.0,0.1538,192.36
44,April,1,23:00:00,0.8462,14.0,1.0,0.0714,334.46
45,April,1,23:30:00,1.0,13.0,0.0,0.0,260.31
46,April,2,00:00:00,1.0,5.0,0.0,0.0,327.6
47,April,2,00:30:00,1.0,7.0,0.0,0.0,242.29
48,April,2,01:00:00,1.0,2.0,0.0,0.0,355.5
49,April,2,01:30:00,1.0,6.0,0.0,0.0,258.0
50,April,2,02:00:00,1.0,3.0,0.0,0.0,273.67
51,April,2,02:30:00,1.0,1.0,0.0,0.0,200.0
52,April,2,03:00:00,1.0,3.0,0.0,0.0,309.33
53,April,2,04:00:00,1.0,1.0,0.0,0.0,269.0
54,April,2,05:00:00,1.0,1.0,0.0,0.0,196.0
55,April,2,05:30:00,1.0,2.0,0.0,0.0,469.5
56,April,2,06:00:00,1.0,1.0,0.0,0.0,1085.0
57,April,2,06:30:00,1.0,1.0,0.0,0.0,155.0
58,April,2,07:00:00,1.0,8.0,0.0,0.0,145.88
59,April,2,07:30:00,0.8333,12.0,0.0,0.0,321.42
60,April,2,08:00:00,0.9762,42.0,0.0,0.0,268.95
61,April,2,08:30:00,0.642,84.0,3.0,0.0357,249.33
62,April,2,09:00:00,0.7281,118.0,4.0,0.0339,312.5
63,April,2,09:30:00,0.698,150.0,1.0,0.0067,322.62
64,April,2,10:00:00,0.9825,171.0,0.0,0.0,282.39
65,April,2,10:30:00,0.9583,192.0,0.0,0.0,307.71
66,April,2,11:00:00,0.9195,240.0,4.0,0.0167,329.61
67,April,2,11:30:00,0.8333,235.0,1.0,0.0043,345.16
68,April,2,12:00:00,0.9874,240.0,1.0,0.0042,344.82
69,April,2,12:30:00,0.8423,246.0,5.0,0.0203,332.64
70,April,2,13:00:00,0.888,241.0,0.0,0.0,322.92
71,April,2,13:30:00,0.9634,273.0,0.0,0.0,304.0
72,April,2,14:00:00,0.9964,275.0,0.0,0.0,339.43
73,April,2,14:30:00,0.996,253.0,0.0,0.0,292.37
74,April,2,15:00:00,0.9515,268.0,0.0,0.0,351.72
75,April,2,15:30:00,0.9609,263.0,7.0,0.0266,320.33
76,April,2,16:00:00,0.7942,244.0,1.0,0.0041,357.62
77,April,2,16:30:00,0.9959,244.0,1.0,0.0041,321.67
78,April,2,17:00:00,0.9953,211.0,0.0,0.0,328.45
79,April,2,17:30:00,1.0,175.0,0.0,0.0,356.8
80,April,2,18:00:00,0.9874,159.0,0.0,0.0,304.06
81,April,2,18:30:00,1.0,157.0,0.0,0.0,353.96
82,April,2,19:00:00,1.0,81.0,0.0,0.0,355.14
83,April,2,19:30:00,1.0,73.0,0.0,0.0,319.52
84,April,2,20:00:00,1.0,62.0,0.0,0.0,326.77
85,April,2,20:30:00,0.9783,46.0,0.0,0.0,282.54
86,April,2,21:00:00,1.0,39.0,0.0,0.0,239.31
87,April,2,21:30:00,1.0,24.0,0.0,0.0,320.29
88,April,2,22:00:00,1.0,20.0,0.0,0.0,297.5
89,April,2,22:30:00,0.4375,16.0,0.0,0.0,258.94
