Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,9,0,0.053846,361.64,48,1,0.023242,297.35,72,1,0.010177,319.69,47,1,0.018208,303.66
August,1,0:30,7,0,0.0,386.83,28,0,0.0,323.08,55,0,0.001569,320.7,30,0,0.008092,317.12
August,1,1:00,5,0,0.048482,371.55,13,1,0.068983,394.99,40,1,0.013069,310.59,26,0,0.003346,320.93
August,1,1:30,3,0,0.075755,275.36,6,0,0.037033,296.2,34,0,0.013446,330.33,18,0,0.012323,313.66
August,1,2:00,2,0,0.1,451.67,6,0,0.041667,330.34,21,0,0.023431,317.15,13,0,0.014138,326.52
August,1,2:30,3,0,0.0,399.45,4,0,0.0,340.01,15,0,0.0,341.8,7,0,0.0,373.83
August,1,3:00,2,0,0.0,309.59,4,0,0.0,320.54,12,1,0.046515,354.07,3,0,0.015155,438.07
August,1,3:30,3,0,0.0,610.74,4,0,0.0,152.98,13,0,0.0,295.04,0,0,0.0,233.0
August,1,4:00,4,0,0.0,244.13,3,0,0.0,289.17,11,0,0.005492,375.09,0,0,0.0,1762.67
August,1,4:30,2,0,0.0,183.24,3,0,0.0,304.88,12,0,0.013069,298.48,0,0,0.0,760.75
August,1,5:00,2,0,0.0,408.33,3,0,0.0,260.05,12,0,0.0,445.44,0,0,0.0,215.12
August,1,5:30,2,0,0.0,187.35,3,0,0.0,256.68,14,0,0.0,306.59,1,0,0.0,357.24
August,1,6:00,2,0,0.022222,264.98,3,0,0.0,396.88,20,0,0.0,277.86,9,0,0.028846,254.78
August,1,6:30,4,1,0.190473,300.41,8,2,0.267123,369.46,36,0,0.009231,266.28,15,1,0.051462,295.79
August,1,7:00,9,1,0.062392,254.9,11,0,0.012323,286.55,64,0,0.006533,266.17,29,0,0.015654,255.16
August,1,7:30,15,1,0.074554,303.19,20,0,0.0035,310.99,103,1,0.012517,256.81,46,1,0.015777,284.46
August,1,8:00,45,0,0.009192,250.17,37,0,0.011815,294.66,183,1,0.003308,270.12,80,0,0.0042,278.78
August,1,8:30,72,0,0.003592,277.52,50,1,0.024977,304.74,263,2,0.008531,292.79,117,1,0.008108,273.04
August,1,9:00,101,0,0.003354,278.22,132,1,0.009962,281.38,367,2,0.005031,291.09,178,2,0.010923,281.8
August,1,9:30,119,1,0.011369,271.92,176,2,0.011569,304.56,440,9,0.021446,310.07,220,4,0.016208,274.24
August,1,10:00,128,1,0.0084,294.97,221,3,0.013362,305.36,552,3,0.004542,307.86,259,3,0.013215,288.55
August,1,10:30,159,1,0.004654,291.52,253,8,0.031346,314.99,621,5,0.007458,321.33,301,12,0.038862,291.92
August,1,11:00,181,1,0.0068,300.09,291,4,0.012792,319.28,672,6,0.008267,324.13,341,6,0.016285,299.53
August,1,11:30,182,3,0.014146,293.4,334,7,0.022123,325.33,683,12,0.017167,331.1,354,4,0.012077,302.01
August,1,12:00,197,4,0.022585,300.17,340,4,0.0118,321.77,696,8,0.011333,330.62,381,2,0.006454,307.46
August,1,12:30,203,6,0.030708,303.04,355,7,0.020415,319.9,707,10,0.013975,329.84,394,9,0.023823,300.35
August,1,13:00,196,2,0.010983,306.88,377,12,0.031454,323.89,692,6,0.009225,333.99,389,8,0.021285,309.91
August,1,13:30,195,0,0.002042,310.82,400,15,0.037554,318.56,695,14,0.019633,331.83,393,8,0.021185,304.81
August,1,14:00,185,1,0.007783,311.02,406,18,0.043908,326.96,692,11,0.015792,335.5,385,5,0.011846,303.74
August,1,14:30,188,3,0.013483,307.92,398,12,0.029685,332.6,685,6,0.009077,329.66,401,13,0.033031,312.79
August,1,15:00,183,1,0.005067,305.85,372,6,0.0159,321.81,650,1,0.000985,338.4,383,5,0.012138,297.73
August,1,15:30,186,1,0.005133,311.41,366,5,0.014133,317.2,631,1,0.001192,335.68,366,3,0.009292,296.15
August,1,16:00,186,1,0.004538,322.76,366,3,0.008758,328.82,609,1,0.001908,335.51,353,3,0.008669,310.0
August,1,16:30,168,0,0.002669,295.7,342,3,0.007583,337.43,563,1,0.001192,332.92,325,2,0.005477,304.75
August,1,17:00,154,3,0.021746,307.02,331,2,0.00515,330.84,526,1,0.002538,336.04,303,2,0.006992,305.81
August,1,17:30,157,2,0.015308,318.88,310,3,0.009583,333.53,509,1,0.001638,332.26,291,1,0.002792,305.59
August,1,18:00,154,1,0.007938,320.11,281,6,0.019775,343.01,482,2,0.003208,328.57,272,1,0.003558,305.5
August,1,18:30,129,1,0.010431,334.17,261,5,0.017883,329.56,439,2,0.005431,339.95,237,0,0.001917,323.51
August,1,19:00,95,0,0.0043,321.13,229,4,0.017783,329.95,395,3,0.008823,328.68,226,1,0.005075,315.79
August,1,19:30,76,1,0.008308,331.16,208,3,0.013008,313.08,352,7,0.020777,326.19,202,1,0.003875,321.0
August,1,20:00,59,1,0.020915,300.31,192,9,0.046038,317.73,317,4,0.013692,334.68,175,2,0.009975,304.61
August,1,20:30,45,2,0.049946,275.72,164,3,0.016423,304.41,269,3,0.009631,328.58,158,1,0.00835,296.52
August,1,21:00,34,1,0.041769,296.27,129,3,0.023738,306.36,225,2,0.007538,328.0,135,4,0.026775,302.11
August,1,21:30,27,1,0.036908,297.1,117,1,0.012385,307.71,182,1,0.002885,330.08,112,1,0.005315,310.03
August,1,22:00,18,0,0.006992,364.23,91,2,0.0186,297.7,152,1,0.003285,322.09,95,0,0.004623,295.68
August,1,22:30,13,1,0.071192,305.03,76,1,0.010554,316.69,129,0,0.002238,319.64,78,0,0.004662,301.93
August,1,23:00,12,1,0.073708,332.33,56,1,0.019831,289.28,96,0,0.002515,309.68,67,0,0.001377,299.49
August,1,23:30,8,0,0.0,259.56,45,0,0.008538,294.57,84,0,0.001115,314.49,53,0,0.009262,282.47
August,2,0:00,8,0,0.055558,466.65,56,2,0.033931,272.05,108,1,0.009638,294.19,67,0,0.006323,279.74
August,2,0:30,7,1,0.120515,396.29,41,2,0.038438,273.13,80,1,0.007669,333.96,46,0,0.0,293.25
