Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,9,0,0.053846,361.64,51,1,0.023242,297.35,79,1,0.010177,319.69,49,1,0.018208,303.66
August,1,0:30,7,0,0.0,386.83,30,0,0.0,323.08,60,0,0.001569,320.7,32,0,0.008092,317.12
August,1,1:00,6,0,0.048482,371.55,13,1,0.068983,394.99,44,1,0.013069,310.59,27,0,0.003346,320.93
August,1,1:30,3,0,0.075755,275.36,7,0,0.037033,296.2,38,1,0.013446,330.33,19,0,0.012323,313.66
August,1,2:00,2,0,0.1,451.67,6,0,0.041667,330.34,23,1,0.023431,317.15,14,0,0.014138,326.52
August,1,2:30,3,0,0.0,399.45,4,0,0.0,340.01,17,0,0.0,341.8,7,0,0.0,373.83
August,1,3:00,2,0,0.0,309.59,4,0,0.0,320.54,13,1,0.046515,354.07,3,0,0.015155,438.07
August,1,3:30,3,0,0.0,610.74,5,0,0.0,152.98,15,0,0.0,295.04,0,0,0.0,233.0
August,1,4:00,4,0,0.0,244.13,3,0,0.0,289.17,12,0,0.005492,375.09,0,0,0.0,1762.67
August,1,4:30,2,0,0.0,183.24,3,0,0.0,304.88,13,0,0.013069,298.48,1,0,0.0,760.75
August,1,5:00,2,0,0.0,408.33,4,0,0.0,260.05,13,0,0.0,445.44,0,0,0.0,215.12
August,1,5:30,2,0,0.0,187.35,3,0,0.0,256.68,16,0,0.0,306.59,1,0,0.0,357.24
August,1,6:00,2,0,0.022222,264.98,3,0,0.0,396.88,21,0,0.0,277.86,9,0,0.028846,254.78
August,1,6:30,4,1,0.190473,300.41,9,2,0.267123,369.46,40,0,0.009231,266.28,16,1,0.051462,295.79
August,1,7:00,9,1,0.062392,254.9,12,0,0.012323,286.55,70,0,0.006533,266.17,31,0,0.015654,255.16
August,1,7:30,16,1,0.074554,303.19,22,0,0.0035,310.99,114,1,0.012517,256.81,48,1,0.015777,284.46
August,1,8:00,47,0,0.009192,250.17,40,0,0.011815,294.66,201,1,0.003308,270.12,83,0,0.0042,278.78
August,1,8:30,75,0,0.003592,277.52,54,1,0.024977,304.74,288,2,0.008531,292.79,122,1,0.008108,273.04
August,1,9:00,105,0,0.003354,278.22,141,1,0.009962,281.38,403,2,0.005031,291.09,186,2,0.010923,281.8
August,1,9:30,123,1,0.011369,271.92,188,2,0.011569,304.56,483,10,0.021446,310.07,230,4,0.016208,274.24
August,1,10:00,133,1,0.0084,294.97,236,3,0.013362,305.36,606,3,0.004542,307.86,271,4,0.013215,288.55
August,1,10:30,165,1,0.004654,291.52,270,8,0.031346,314.99,681,5,0.007458,321.33,315,12,0.038862,291.92
August,1,11:00,188,1,0.0068,300.09,311,4,0.012792,319.28,738,6,0.008267,324.13,357,6,0.016285,299.53
August,1,11:30,189,3,0.014146,293.4,356,8,0.022123,325.33,750,13,0.017167,331.1,371,4,0.012077,302.01
August,1,12:00,205,5,0.022585,300.17,363,4,0.0118,321.77,764,9,0.011333,330.62,399,3,0.006454,307.46
August,1,12:30,211,6,0.030708,303.04,379,8,0.020415,319.9,776,11,0.013975,329.84,412,10,0.023823,300.35
August,1,13:00,204,2,0.010983,306.88,402,13,0.031454,323.89,760,7,0.009225,333.99,407,9,0.021285,309.91
