Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,11,1,0.053846,333.36,59,1,0.023242,305.29,103,1,0.010177,328.03,63,1,0.018208,287.94
August,1,0:30,8,0,0.0,356.58,35,0,0.0,331.7,79,0,0.001569,329.07,41,0,0.008092,300.69
August,1,1:00,7,0,0.048482,342.5,16,1,0.068983,405.53,57,1,0.013069,318.69,35,0,0.003346,304.3
August,1,1:30,4,0,0.075755,253.83,8,0,0.037033,304.11,49,1,0.013446,338.95,25,0,0.012323,297.42
August,1,2:00,2,0,0.1,416.35,8,0,0.041667,339.16,30,1,0.023431,325.43,18,0,0.014138,309.61
August,1,2:30,4,0,0.0,368.21,5,0,0.0,349.09,22,0,0.0,350.72,10,0,0.0,354.47
August,1,3:00,3,0,0.0,285.38,5,0,0.0,329.1,17,1,0.046515,363.3,4,0,0.015155,415.38
August,1,3:30,4,0,0.0,562.98,5,0,0.0,157.06,19,0,0.0,302.73,0,0,0.0,220.93
August,1,4:00,5,0,0.0,225.04,3,0,0.0,296.89,16,0,0.005492,384.88,0,0,0.0,1671.38
August,1,4:30,2,0,0.0,168.91,4,0,0.0,313.02,17,0,0.013069,306.27,1,0,0.0,721.35
August,1,5:00,2,0,0.0,376.4,4,0,0.0,266.99,17,0,0.0,457.06,1,0,0.0,203.98
August,1,5:30,2,0,0.0,172.7,4,0,0.0,263.54,21,0,0.0,314.59,1,0,0.0,338.74
August,1,6:00,3,0,0.022222,244.26,4,0,0.0,407.48,28,0,0.0,285.11,12,0,0.028846,241.59
August,1,6:30,5,1,0.190473,276.92,10,3,0.267123,379.33,52,0,0.009231,273.23,21,1,0.051462,280.47
August,1,7:00,11,1,0.062392,234.97,14,0,0.012323,294.2,92,1,0.006533,273.12,40,1,0.015654,241.95
August,1,7:30,19,1,0.074554,279.48,25,0,0.0035,319.29,148,2,0.012517,263.51,63,1,0.015777,269.73
August,1,8:00,57,1,0.009192,230.61,46,1,0.011815,302.53,262,1,0.003308,277.17,109,0,0.0042,264.34
August,1,8:30,91,0,0.003592,255.82,62,2,0.024977,312.87,377,3,0.008531,300.43,159,1,0.008108,258.89
August,1,9:00,127,0,0.003354,256.47,164,2,0.009962,288.9,527,3,0.005031,298.68,242,3,0.010923,267.21
August,1,9:30,149,2,0.011369,250.66,218,3,0.011569,312.7,632,14,0.021446,318.16,299,5,0.016208,260.04
August,1,10:00,161,1,0.0084,271.9,274,4,0.013362,313.51,792,4,0.004542,315.89,353,5,0.013215,273.6
August,1,10:30,200,1,0.004654,268.72,313,10,0.031346,323.4,891,7,0.007458,329.72,410,16,0.038862,276.81
August,1,11:00,228,2,0.0068,276.62,361,5,0.012792,327.8,965,8,0.008267,332.59,465,8,0.016285,284.02
August,1,11:30,229,3,0.014146,270.46,414,9,0.022123,334.02,980,17,0.017167,339.73,482,6,0.012077,286.37
August,1,12:00,248,6,0.022585,276.7,422,5,0.0118,330.36,999,11,0.011333,339.25,519,3,0.006454,291.54
August,1,12:30,256,8,0.030708,279.34,440,9,0.020415,328.44,1015,14,0.013975,338.44,536,13,0.023823,284.79
August,1,13:00,247,3,0.010983,282.88,468,15,0.031454,332.53,994,9,0.009225,342.7,530,11,0.021285,293.86
August,1,13:30,246,1,0.002042,286.52,496,19,0.037554,327.06,997,20,0.019633,340.49,535,11,0.021185,289.02
August,1,14:00,233,2,0.007783,286.7,504,22,0.043908,335.69,992,16,0.015792,344.26,525,6,0.011846,288.01
August,1,14:30,237,3,0.013483,283.84,494,15,0.029685,341.48,983,9,0.009077,338.26,545,18,0.033031,296.59
August,1,15:00,231,1,0.005067,281.93,461,7,0.0159,330.41,933,1,0.000985,347.23,522,6,0.012138,282.31
August,1,15:30,234,1,0.005133,287.06,454,6,0.014133,325.67,905,1,0.001192,344.44,498,5,0.009292,280.81
August,1,16:00,235,1,0.004538,297.52,454,4,0.008758,337.6,874,2,0.001908,344.26,481,4,0.008669,293.95
August,1,16:30,211,1,0.002669,272.57,425,3,0.007583,346.44,808,1,0.001192,341.61,442,2,0.005477,288.97
August,1,17:00,194,4,0.021746,283.01,411,2,0.00515,339.67,755,2,0.002538,344.8,413,3,0.006992,289.97
August,1,17:30,198,3,0.015308,293.94,385,4,0.009583,342.43,731,1,0.001638,340.93,396,1,0.002792,289.76
August,1,18:00,194,2,0.007938,295.08,349,7,0.019775,352.17,692,2,0.003208,337.14,370,1,0.003558,289.68
August,1,18:30,163,2,0.010431,308.04,324,6,0.017883,338.35,630,3,0.005431,348.82,323,1,0.001917,306.75
August,1,19:00,120,1,0.0043,296.02,285,5,0.017783,338.76,567,5,0.008823,337.26,308,2,0.005075,299.44
August,1,19:30,95,1,0.008308,305.26,258,3,0.013008,321.44,506,11,0.020777,334.7,275,1,0.003875,304.38
August,1,20:00,75,2,0.020915,276.83,238,11,0.046038,326.21,455,6,0.013692,343.41,238,2,0.009975,288.83
August,1,20:30,56,3,0.049946,254.16,204,3,0.016423,312.54,386,4,0.009631,337.15,215,2,0.00835,281.17
August,1,21:00,42,2,0.041769,273.1,160,4,0.023738,314.54,323,2,0.007538,336.56,184,5,0.026775,286.47
August,1,21:30,34,1,0.036908,273.86,145,2,0.012385,315.93,261,1,0.002885,338.69,153,1,0.005315,293.97
August,1,22:00,22,0,0.006992,335.75,113,2,0.0186,305.65,219,1,0.003285,330.49,129,1,0.004623,280.37
August,1,22:30,16,1,0.071192,281.18,94,1,0.010554,325.15,185,0,0.002238,327.98,107,0,0.004662,286.29
