,Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT
0,April,1,00:00:00,1.0,22.0,0.0,0.0,480.05
1,April,1,00:30:00,0.9524,21.0,0.0,0.0,301.71
2,April,1,01:00:00,1.0,8.0,0.0,0.0,501.88
3,April,1,01:30:00,1.0,4.0,0.0,0.0,468.75
4,April,1,02:00:00,1.0,4.0,0.0,0.0,285.5
5,April,1,02:30:00,1.0,3.0,0.0,0.0,243.33
6,April,1,03:00:00,1.0,3.0,0.0,0.0,313.67
7,April,1,03:30:00,1.0,1.0,0.0,0.0,284.0
8,April,1,04:00:00,1.0,1.0,0.0,0.0,60.0
9,April,1,04:30:00,1.0,2.0,0.0,0.0,378.5
10,April,1,05:00:00,1.0,1.0,0.0,0.0,134.0
11,April,1,05:30:00,1.0,5.0,0.0,0.0,203.8
12,April,1,06:00:00,1.0,3.0,0.0,0.0,232.33
13,April,1,06:30:00,1.0,5.0,2.0,0.4,149.0
14,April,1,07:00:00,0.8947,19.0,0.0,0.0,338.84
15,April,1,07:30:00,0.9677,31.0,0.0,0.0,347.55
16,April,1,08:00:00,1.0,64.0,0.0,0.0,247.95
17,April,1,08:30:00,1.0,111.0,3.0,0.027,309.07
18,April,1,09:00:00,1.0,144.0,0.0,0.0,306.46
19,April,1,09:30:00,0.996,253.0,0.0,0.0,297.44
20,April,1,10:00:00,0.9853,275.0,2.0,0.0073,295.53
21,April,1,10:30:00,0.9106,304.0,2.0,0.0066,328.72
22,April,1,11:00:00,0.9246,347.0,2.0,0.0058,334.68
23,April,1,11:30:00,0.8852,400.0,8.0,0.02,307.29
24,April,1,12:00:00,0.9169,424.0,3.0,0.0071,345.98
25,April,1,12:30:00,0.9789,382.0,2.0,0.0052,351.69
26,April,1,13:00:00,0.9636,467.0,0.0,0.0,348.8
27,April,1,13:30:00,0.8608,434.0,3.0,0.0069,348.35
28,April,1,14:00:00,0.9865,447.0,3.0,0.0067,319.33
29,April,1,14:30:00,0.6572,508.0,15.0,0.0295,343.38
30,April,1,15:00:00,0.9875,481.0,1.0,0.0021,319.81
31,April,1,15:30:00,0.9957,462.0,0.0,0.0,351.58
32,April,1,16:00:00,0.9736,416.0,0.0,0.0,369.78
33,April,1,16:30:00,0.9879,412.0,0.0,0.0,329.54
34,April,1,17:00:00,0.8295,440.0,6.0,0.0136,332.2
35,April,1,17:30:00,0.9849,400.0,2.0,0.005,350.52
36,April,1,18:00:00,0.7628,393.0,1.0,0.0025,337.72
37,April,1,18:30:00,0.7893,339.0,2.0,0.0059,353.46
38,April,1,19:00:00,0.8469,298.0,4.0,0.0134,365.92
39,April,1,19:30:00,0.9579,287.0,2.0,0.007,361.16
40,April,1,20:00:00,0.9276,224.0,3.0,0.0134,310.38
41,April,1,20:30:00,0.7407,218.0,2.0,0.0092,347.15
42,April,1,21:00:00,0.9697,166.0,1.0,0.006,335.01
43,April,1,21:30:00,0.9618,157.0,0.0,0.0,373.85
44,April,1,22:00:00,0.8879,118.0,2.0,0.0169,373.86
45,April,1,22:30:00,0.8627,104.0,2.0,0.0192,359.6
46,April,1,23:00:00,1.0,63.0,0.0,0.0,355.63
47,April,1,23:30:00,0.9756,41.0,0.0,0.0,253.9
48,April,2,00:00:00,1.0,33.0,0.0,0.0,386.03
49,April,2,00:30:00,1.0,17.0,0.0,0.0,384.47
50,April,2,01:00:00,1.0,10.0,0.0,0.0,281.4
51,April,2,01:30:00,1.0,6.0,0.0,0.0,362.67
52,April,2,02:00:00,1.0,4.0,0.0,0.0,556.75
53,April,2,02:30:00,1.0,1.0,0.0,0.0,168.0
54,April,2,03:00:00,1.0,2.0,0.0,0.0,906.5
55,April,2,03:30:00,1.0,3.0,0.0,0.0,216.67
56,April,2,04:00:00,1.0,2.0,0.0,0.0,256.0
57,April,2,04:30:00,1.0,3.0,0.0,0.0,256.0
58,April,2,05:00:00,1.0,3.0,0.0,0.0,505.33
59,April,2,05:30:00,,0.0,0.0,,
60,April,2,06:00:00,1.0,2.0,0.0,0.0,429.0
61,April,2,06:30:00,1.0,6.0,0.0,0.0,371.17
62,April,2,07:00:00,1.0,22.0,0.0,0.0,202.91
63,April,2,07:30:00,1.0,39.0,0.0,0.0,303.56
64,April,2,08:00:00,1.0,48.0,0.0,0.0,313.71
65,April,2,08:30:00,0.9806,104.0,1.0,0.0096,328.18
66,April,2,09:00:00,1.0,166.0,0.0,0.0,294.45
67,April,2,09:30:00,0.9665,214.0,5.0,0.0234,315.36
68,April,2,10:00:00,0.9518,250.0,1.0,0.004,298.37
69,April,2,10:30:00,0.8881,300.0,5.0,0.0167,336.33
70,April,2,11:00:00,0.7866,321.0,7.0,0.0218,335.41
71,April,2,11:30:00,0.8309,346.0,3.0,0.0087,339.16
72,April,2,12:00:00,0.9499,379.0,0.0,0.0,327.83
73,April,2,12:30:00,0.7108,417.0,9.0,0.0216,328.86
74,April,2,13:00:00,0.9726,440.0,2.0,0.0045,331.89
75,April,2,13:30:00,0.7588,409.0,11.0,0.0269,337.02
76,April,2,14:00:00,0.9705,408.0,1.0,0.0025,317.75
77,April,2,14:30:00,0.991,448.0,2.0,0.0045,364.02
78,April,2,15:00:00,1.0,411.0,1.0,0.0024,349.22
79,April,2,15:30:00,0.9953,430.0,2.0,0.0047,333.94
80,April,2,16:00:00,1.0,436.0,0.0,0.0,341.39
81,April,2,16:30:00,0.995,403.0,0.0,0.0,335.56
82,April,2,17:00:00,0.971,385.0,6.0,0.0156,336.47
83,April,2,17:30:00,0.9922,389.0,3.0,0.0077,334.3
84,April,2,18:00:00,0.9861,361.0,0.0,0.0,330.58
85,April,2,18:30:00,0.9909,329.0,0.0,0.0,361.68
86,April,2,19:00:00,0.9965,285.0,3.0,0.0105,351.6
87,April,2,19:30:00,0.9917,244.0,2.0,0.0082,293.23
88,April,2,20:00:00,0.9076,240.0,2.0,0.0083,331.68
89,April,2,20:30:00,0.9894,190.0,2.0,0.0105,344.44
90,April,2,21:00:00,0.9728,148.0,1.0,0.0068,305.09
91,April,2,21:30:00,0.9865,148.0,0.0,0.0,353.77
92,April,2,22:00:00,1.0,99.0,0.0,0.0,321.82
93,April,2,22:30:00,1.0,82.0,0.0,0.0,287.34
94,April,2,23:00:00,1.0,72.0,0.0,0.0,272.75
95,April,2,23:30:00,1.0,65.0,1.0,0.0154,287.25
96,April,3,00:00:00,1.0,34.0,0.0,0.0,287.62
97,April,3,00:30:00,1.0,22.0,0.0,0.0,278.82
98,April,3,01:00:00,1.0,6.0,0.0,0.0,312.67
99,April,3,01:30:00,1.0,9.0,0.0,0.0,518.11
100,April,3,02:00:00,1.0,5.0,0.0,0.0,365.6
101,April,3,02:30:00,1.0,2.0,0.0,0.0,388.5
102,April,3,03:30:00,,,,,
103,April,3,04:00:00,,,,,
104,April,3,04:30:00,,,,,
105,April,3,05:30:00,,,,,
106,April,3,06:00:00,,,,,
107,April,3,06:30:00,,,,,
108,April,3,07:00:00,0.9355,32.0,1.0,0.0313,243.68
109,April,3,07:30:00,1.0,34.0,1.0,0.0294,240.03
110,April,3,08:00:00,0.8857,71.0,1.0,0.0141,288.9
111,April,3,08:30:00,0.807,116.0,2.0,0.0172,322.09
112,April,3,09:00:00,0.8984,187.0,0.0,0.0,324.53
113,April,3,09:30:00,0.9802,255.0,2.0,0.0078,313.39
114,April,3,10:00:00,0.9739,268.0,0.0,0.0,337.18
115,April,3,10:30:00,0.8159,327.0,12.0,0.0367,322.01
116,April,3,11:00:00,0.8646,352.0,5.0,0.0142,345.67
117,April,3,11:30:00,0.6237,395.0,15.0,0.038,338.28
118,April,3,12:00:00,0.9404,369.0,0.0,0.0,326.98
119,April,3,12:30:00,0.9068,446.0,6.0,0.0135,314.21
120,April,3,13:00:00,0.9885,438.0,2.0,0.0046,349.77
121,April,3,13:30:00,0.8311,447.0,9.0,0.0201,335.29
122,April,3,14:00:00,0.8194,470.0,5.0,0.0106,328.75
123,April,3,14:30:00,0.7903,475.0,3.0,0.0063,351.92
124,April,3,15:00:00,0.8864,487.0,3.0,0.0062,342.49
125,April,3,15:30:00,0.9956,453.0,2.0,0.0044,308.77
126,April,3,16:00:00,0.977,436.0,2.0,0.0046,346.77
127,April,3,16:30:00,0.94,419.0,2.0,0.0048,348.12
128,April,3,17:00:00,0.99,401.0,0.0,0.0,339.29
129,April,3,17:30:00,0.9768,388.0,0.0,0.0,338.97
130,April,3,18:00:00,0.893,388.0,5.0,0.0129,346.14
131,April,3,18:30:00,0.905,337.0,0.0,0.0,351.97
132,April,3,19:00:00,0.9772,308.0,1.0,0.0032,317.28
133,April,3,19:30:00,0.978,274.0,1.0,0.0036,339.41
134,April,3,20:00:00,0.9478,230.0,0.0,0.0,358.12
135,April,3,20:30:00,1.0,187.0,0.0,0.0,315.01
136,April,3,21:00:00,0.9938,160.0,0.0,0.0,331.81
137,April,3,21:30:00,1.0,134.0,1.0,0.0075,302.61
138,April,3,22:00:00,0.9385,132.0,2.0,0.0152,306.12
139,April,3,22:30:00,1.0,102.0,4.0,0.0392,320.88
140,April,3,23:00:00,1.0,61.0,0.0,0.0,253.0
141,April,3,23:30:00,1.0,37.0,0.0,0.0,342.49
142,April,4,00:00:00,1.0,26.0,0.0,0.0,284.62
143,April,4,00:30:00,1.0,17.0,0.0,0.0,344.0
144,April,4,01:00:00,1.0,18.0,2.0,0.1111,273.25
145,April,4,01:30:00,1.0,5.0,0.0,0.0,244.6
146,April,4,02:00:00,1.0,7.0,0.0,0.0,316.57
147,April,4,02:30:00,1.0,10.0,0.0,0.0,314.8
148,April,4,03:00:00,1.0,5.0,0.0,0.0,164.8
149,April,4,03:30:00,1.0,4.0,0.0,0.0,320.5
150,April,4,04:00:00,0.5,4.0,0.0,0.0,264.75
151,April,4,04:30:00,1.0,3.0,1.0,0.3333,129.5
152,April,4,05:00:00,1.0,2.0,0.0,0.0,299.0
153,April,4,05:30:00,1.0,2.0,0.0,0.0,518.5
154,April,4,06:00:00,0.6667,3.0,0.0,0.0,131.0
155,April,4,06:30:00,1.0,4.0,3.0,0.75,333.0
156,April,4,07:00:00,0.9048,21.0,0.0,0.0,294.52
157,April,4,07:30:00,0.9189,37.0,0.0,0.0,272.84
158,April,4,08:00:00,0.9846,65.0,0.0,0.0,277.28
159,April,4,08:30:00,1.0,97.0,0.0,0.0,267.99
160,April,4,09:00:00,0.9877,162.0,0.0,0.0,319.4
161,April,4,09:30:00,0.9604,202.0,0.0,0.0,311.66
162,April,4,10:00:00,0.9698,233.0,1.0,0.0043,336.14
163,April,4,10:30:00,0.7158,288.0,10.0,0.0347,329.31
164,April,4,11:00:00,0.4771,317.0,11.0,0.0347,331.05
165,April,4,11:30:00,0.8761,349.0,2.0,0.0057,336.49
