,Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT
0,April,1,00:00:00,1.0,72.0,0.0,0.0,283.29
1,April,1,00:30:00,1.0,56.0,0.0,0.0,293.89
2,April,1,01:00:00,1.0,31.0,0.0,0.0,323.45
3,April,1,01:30:00,1.0,34.0,0.0,0.0,247.38
4,April,1,02:00:00,1.0,16.0,0.0,0.0,282.69
5,April,1,02:30:00,0.9286,14.0,0.0,0.0,293.57
6,April,1,03:00:00,1.0,11.0,0.0,0.0,198.64
7,April,1,03:30:00,1.0,13.0,0.0,0.0,272.77
8,April,1,04:00:00,1.0,8.0,0.0,0.0,467.38
9,April,1,04:30:00,1.0,12.0,0.0,0.0,122.75
10,April,1,05:00:00,1.0,17.0,0.0,0.0,283.53
11,April,1,05:30:00,1.0,20.0,0.0,0.0,275.85
12,April,1,06:00:00,1.0,34.0,0.0,0.0,301.59
13,April,1,06:30:00,1.0,34.0,0.0,0.0,224.47
14,April,1,07:00:00,0.9878,82.0,0.0,0.0,246.26
15,April,1,07:30:00,0.9609,128.0,0.0,0.0,280.62
16,April,1,08:00:00,0.991,223.0,0.0,0.0,287.82
17,April,1,08:30:00,0.9941,338.0,0.0,0.0,307.67
18,April,1,09:00:00,0.9648,569.0,1.0,0.0018,301.98
19,April,1,09:30:00,0.9945,726.0,2.0,0.0028,310.58
20,April,1,10:00:00,0.9914,813.0,2.0,0.0025,322.72
21,April,1,10:30:00,0.9693,915.0,4.0,0.0044,325.08
22,April,1,11:00:00,0.9615,939.0,4.0,0.0043,350.13
23,April,1,11:30:00,0.9538,1017.0,0.0,0.0,338.27
24,April,1,12:00:00,0.8962,1046.0,6.0,0.0057,338.82
25,April,1,12:30:00,0.9503,1070.0,3.0,0.0028,334.74
26,April,1,13:00:00,0.99,1101.0,1.0,0.0009,346.13
27,April,1,13:30:00,0.7764,1065.0,14.0,0.0131,323.85
28,April,1,14:00:00,0.9913,1144.0,0.0,0.0,338.26
29,April,1,14:30:00,0.9327,1151.0,7.0,0.0061,342.38
30,April,1,15:00:00,0.9818,1101.0,2.0,0.0018,335.53
31,April,1,15:30:00,0.9943,1054.0,2.0,0.0019,349.68
32,April,1,16:00:00,0.9881,1097.0,2.0,0.0018,358.12
33,April,1,16:30:00,0.9925,1069.0,1.0,0.0009,348.82
34,April,1,17:00:00,0.914,1049.0,2.0,0.0019,342.7
35,April,1,17:30:00,0.963,955.0,9.0,0.0094,355.31
36,April,1,18:00:00,0.9253,875.0,5.0,0.0057,353.11
37,April,1,18:30:00,0.9865,742.0,0.0,0.0,360.64
38,April,1,19:00:00,0.8454,732.0,14.0,0.0191,335.24
39,April,1,19:30:00,0.9661,619.0,0.0,0.0,337.65
40,April,1,20:00:00,0.9866,522.0,1.0,0.0019,351.62
41,April,1,20:30:00,0.9954,438.0,1.0,0.0023,325.31
42,April,1,21:00:00,1.0,396.0,1.0,0.0025,313.25
43,April,1,21:30:00,0.9969,325.0,0.0,0.0,360.79
44,April,1,22:00:00,0.7283,277.0,12.0,0.0433,333.05
45,April,1,22:30:00,0.7619,212.0,2.0,0.0094,338.09
46,April,1,23:00:00,1.0,153.0,0.0,0.0,357.27
47,April,1,23:30:00,1.0,109.0,0.0,0.0,314.5
48,April,2,00:00:00,1.0,81.0,0.0,0.0,298.96
49,April,2,00:30:00,1.0,67.0,0.0,0.0,291.91
50,April,2,01:00:00,1.0,50.0,0.0,0.0,304.42
51,April,2,01:30:00,1.0,31.0,0.0,0.0,398.48
52,April,2,02:00:00,0.8,17.0,2.0,0.1176,269.07
53,April,2,02:30:00,0.9412,17.0,0.0,0.0,384.65
54,April,2,03:00:00,1.0,11.0,1.0,0.0909,158.4
55,April,2,03:30:00,1.0,11.0,0.0,0.0,500.64
56,April,2,04:00:00,1.0,14.0,0.0,0.0,338.5
57,April,2,04:30:00,1.0,13.0,0.0,0.0,316.0
58,April,2,05:00:00,1.0,13.0,0.0,0.0,291.38
59,April,2,05:30:00,1.0,27.0,0.0,0.0,252.81
60,April,2,06:00:00,1.0,24.0,0.0,0.0,337.29
61,April,2,06:30:00,1.0,44.0,0.0,0.0,263.02
62,April,2,07:00:00,1.0,64.0,0.0,0.0,292.98
63,April,2,07:30:00,0.8615,131.0,1.0,0.0076,265.77
64,April,2,08:00:00,0.9956,226.0,0.0,0.0,288.84
65,April,2,08:30:00,0.9753,367.0,2.0,0.0054,284.42
66,April,2,09:00:00,0.9848,527.0,1.0,0.0019,327.67
67,April,2,09:30:00,0.9273,622.0,3.0,0.0048,302.43
68,April,2,10:00:00,0.9902,711.0,0.0,0.0,325.18
69,April,2,10:30:00,0.899,863.0,2.0,0.0023,334.19
70,April,2,11:00:00,0.9977,880.0,1.0,0.0011,314.32
71,April,2,11:30:00,0.9903,931.0,0.0,0.0,341.7
72,April,2,12:00:00,0.995,1000.0,1.0,0.001,343.43
73,April,2,12:30:00,0.8703,1016.0,14.0,0.0138,347.97
74,April,2,13:00:00,0.9742,1087.0,1.0,0.0009,340.35
75,April,2,13:30:00,0.9373,1060.0,8.0,0.0075,339.39
76,April,2,14:00:00,0.9778,1039.0,2.0,0.0019,340.94
77,April,2,14:30:00,0.999,998.0,1.0,0.001,340.29
78,April,2,15:00:00,0.999,983.0,2.0,0.002,349.96
79,April,2,15:30:00,0.9968,938.0,2.0,0.0021,356.18
80,April,2,16:00:00,0.999,975.0,1.0,0.001,346.35
81,April,2,16:30:00,0.9989,940.0,0.0,0.0,346.13
82,April,2,17:00:00,0.9989,897.0,3.0,0.0033,331.62
83,April,2,17:30:00,0.9963,819.0,0.0,0.0,336.6
84,April,2,18:00:00,0.989,727.0,1.0,0.0014,359.08
85,April,2,18:30:00,0.9955,670.0,1.0,0.0015,365.72
86,April,2,19:00:00,0.9951,614.0,0.0,0.0,346.79
87,April,2,19:30:00,0.9843,510.0,0.0,0.0,344.07
88,April,2,20:00:00,0.9929,425.0,1.0,0.0024,342.44
89,April,2,20:30:00,0.9947,382.0,2.0,0.0052,345.96
90,April,2,21:00:00,0.9942,343.0,0.0,0.0,346.53
91,April,2,21:30:00,0.9966,298.0,0.0,0.0,332.28
92,April,2,22:00:00,1.0,204.0,3.0,0.0147,335.82
93,April,2,22:30:00,1.0,172.0,4.0,0.0233,302.27
94,April,2,23:00:00,0.9917,124.0,4.0,0.0323,313.58
95,April,2,23:30:00,1.0,96.0,4.0,0.0417,302.68
96,April,3,00:00:00,1.0,65.0,0.0,0.0,321.58
97,April,3,00:30:00,1.0,56.0,1.0,0.0179,404.98
98,April,3,01:00:00,1.0,54.0,0.0,0.0,294.35
99,April,3,01:30:00,1.0,19.0,0.0,0.0,376.68
100,April,3,02:00:00,1.0,21.0,0.0,0.0,205.9
101,April,3,02:30:00,1.0,30.0,0.0,0.0,170.07
102,April,3,03:00:00,1.0,10.0,0.0,0.0,258.9
103,April,3,03:30:00,1.0,8.0,0.0,0.0,433.0
104,April,3,04:00:00,0.9412,17.0,0.0,0.0,237.24
105,April,3,04:30:00,1.0,10.0,0.0,0.0,268.5
106,April,3,05:00:00,1.0,21.0,0.0,0.0,234.1
107,April,3,05:30:00,1.0,21.0,1.0,0.0476,247.15
108,April,3,06:00:00,1.0,36.0,0.0,0.0,263.19
109,April,3,06:30:00,0.9778,46.0,1.0,0.0217,299.82
110,April,3,07:00:00,0.9877,81.0,0.0,0.0,239.98
111,April,3,07:30:00,1.0,146.0,1.0,0.0068,243.49
112,April,3,08:00:00,0.9962,261.0,0.0,0.0,256.9
113,April,3,08:30:00,0.9947,380.0,0.0,0.0,293.29
114,April,3,09:00:00,0.9963,539.0,1.0,0.0019,309.16
115,April,3,09:30:00,0.8829,713.0,13.0,0.0182,312.02
116,April,3,10:00:00,0.9256,834.0,1.0,0.0012,309.65
117,April,3,10:30:00,0.9647,855.0,4.0,0.0047,337.67
118,April,3,11:00:00,0.9828,992.0,2.0,0.002,313.13
119,April,3,11:30:00,0.9858,1057.0,0.0,0.0,317.25
120,April,3,12:00:00,0.999,1004.0,2.0,0.002,338.41
121,April,3,12:30:00,0.9758,998.0,7.0,0.007,334.34
122,April,3,13:00:00,0.9329,1015.0,2.0,0.002,352.28
123,April,3,13:30:00,0.968,1003.0,3.0,0.003,350.11
124,April,3,14:00:00,0.998,1023.0,1.0,0.001,344.59
125,April,3,14:30:00,0.996,996.0,4.0,0.004,346.89
126,April,3,15:00:00,0.999,1023.0,3.0,0.0029,332.17
127,April,3,15:30:00,0.9662,1065.0,1.0,0.0009,347.84
128,April,3,16:00:00,0.9968,941.0,2.0,0.0021,345.92
129,April,3,16:30:00,0.9925,932.0,0.0,0.0,370.43
130,April,3,17:00:00,1.0,893.0,0.0,0.0,341.28
131,April,3,17:30:00,0.9989,879.0,3.0,0.0034,353.61
132,April,3,18:00:00,0.9925,801.0,0.0,0.0,340.09
133,April,3,18:30:00,0.6376,726.0,50.0,0.0689,363.48
134,April,3,19:00:00,0.4206,686.0,37.0,0.0539,364.38
135,April,3,19:30:00,0.8275,606.0,9.0,0.0149,367.3
136,April,3,20:00:00,0.9701,504.0,3.0,0.006,358.77
137,April,3,20:30:00,0.988,416.0,1.0,0.0024,330.51
138,April,3,21:00:00,1.0,350.0,0.0,0.0,346.72
139,April,3,21:30:00,1.0,282.0,1.0,0.0035,311.37
140,April,3,22:00:00,0.9251,233.0,6.0,0.0258,324.63
141,April,3,22:30:00,0.9947,188.0,0.0,0.0,283.39
142,April,3,23:00:00,1.0,129.0,0.0,0.0,325.74
143,April,3,23:30:00,1.0,104.0,1.0,0.0096,326.71
144,April,4,00:00:00,1.0,77.0,0.0,0.0,363.03
145,April,4,00:30:00,1.0,58.0,1.0,0.0172,303.65
146,April,4,01:00:00,0.9804,52.0,1.0,0.0192,319.45
147,April,4,01:30:00,1.0,30.0,0.0,0.0,346.1
148,April,4,02:00:00,0.9167,24.0,0.0,0.0,304.04
149,April,4,02:30:00,0.9333,15.0,0.0,0.0,289.73
150,April,4,03:00:00,1.0,16.0,0.0,0.0,289.5
151,April,4,03:30:00,0.7,10.0,0.0,0.0,278.2
152,April,4,04:00:00,0.75,11.0,3.0,0.2727,345.75
153,April,4,04:30:00,0.9167,12.0,0.0,0.0,243.92
154,April,4,05:00:00,1.0,23.0,0.0,0.0,323.74
155,April,4,05:30:00,1.0,20.0,0.0,0.0,305.3
156,April,4,06:00:00,0.9778,45.0,0.0,0.0,267.38
157,April,4,06:30:00,0.9836,61.0,0.0,0.0,240.03
158,April,4,07:00:00,0.963,81.0,0.0,0.0,252.49
159,April,4,07:30:00,1.0,127.0,1.0,0.0079,230.85
160,April,4,08:00:00,0.9958,236.0,0.0,0.0,261.61
161,April,4,08:30:00,0.9973,367.0,1.0,0.0027,304.92
162,April,4,09:00:00,0.9909,548.0,1.0,0.0018,301.84
163,April,4,09:30:00,0.9852,678.0,3.0,0.0044,310.12
164,April,4,10:00:00,0.924,834.0,5.0,0.006,305.43
165,April,4,10:30:00,0.9567,930.0,7.0,0.0075,325.7
166,April,4,11:00:00,0.9065,927.0,7.0,0.0076,335.21
