,Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT
0,April,1,00:00:00,1.0,30.0,0.0,0.0,306.0
1,April,1,00:30:00,1.0,29.0,0.0,0.0,353.14
2,April,1,01:00:00,1.0,25.0,0.0,0.0,373.76
3,April,1,01:30:00,1.0,9.0,0.0,0.0,364.44
4,April,1,02:00:00,1.0,4.0,0.0,0.0,276.25
5,April,1,02:30:00,1.0,9.0,0.0,0.0,300.78
6,April,1,03:00:00,1.0,3.0,0.0,0.0,218.33
7,April,1,03:30:00,,0.0,0.0,,
8,April,1,04:00:00,,0.0,0.0,,
9,April,1,04:30:00,,0.0,0.0,,
10,April,1,05:00:00,1.0,1.0,0.0,0.0,172.0
11,April,1,05:30:00,,0.0,0.0,,
12,April,1,06:00:00,0.9286,14.0,0.0,0.0,267.07
13,April,1,06:30:00,1.0,28.0,0.0,0.0,307.25
14,April,1,07:00:00,0.9655,30.0,1.0,0.0333,244.93
15,April,1,07:30:00,1.0,64.0,0.0,0.0,248.38
16,April,1,08:00:00,1.0,104.0,1.0,0.0096,276.15
17,April,1,08:30:00,0.9713,175.0,1.0,0.0057,242.67
18,April,1,09:00:00,0.9734,263.0,0.0,0.0,281.82
19,April,1,09:30:00,0.9024,331.0,3.0,0.0091,279.69
20,April,1,10:00:00,0.9916,358.0,2.0,0.0056,292.06
21,April,1,10:30:00,0.9125,460.0,3.0,0.0065,313.13
22,April,1,11:00:00,0.8645,441.0,13.0,0.0295,324.51
23,April,1,11:30:00,0.8178,542.0,4.0,0.0074,314.64
24,April,1,12:00:00,0.9963,540.0,3.0,0.0056,323.31
25,April,1,12:30:00,0.9774,538.0,6.0,0.0112,326.03
26,April,1,13:00:00,0.8867,569.0,4.0,0.007,316.46
27,April,1,13:30:00,0.8327,512.0,10.0,0.0195,320.57
28,April,1,14:00:00,0.9691,555.0,4.0,0.0072,320.33
29,April,1,14:30:00,0.9855,552.0,2.0,0.0036,317.62
30,April,1,15:00:00,0.9908,548.0,2.0,0.0036,315.15
31,April,1,15:30:00,0.984,503.0,2.0,0.004,297.38
32,April,1,16:00:00,0.9618,577.0,1.0,0.0017,301.41
33,April,1,16:30:00,0.9907,545.0,6.0,0.011,314.94
34,April,1,17:00:00,0.9853,478.0,2.0,0.0042,341.33
35,April,1,17:30:00,0.9978,465.0,0.0,0.0,313.75
36,April,1,18:00:00,0.9769,434.0,1.0,0.0023,313.12
37,April,1,18:30:00,0.9872,391.0,1.0,0.0026,325.36
38,April,1,19:00:00,0.9587,341.0,2.0,0.0059,323.32
39,April,1,19:30:00,0.9688,324.0,3.0,0.0093,319.76
40,April,1,20:00:00,0.9579,263.0,2.0,0.0076,321.76
41,April,1,20:30:00,0.928,252.0,2.0,0.0079,315.81
42,April,1,21:00:00,1.0,196.0,0.0,0.0,279.84
43,April,1,21:30:00,1.0,156.0,1.0,0.0064,306.11
44,April,1,22:00:00,1.0,110.0,0.0,0.0,327.23
45,April,1,22:30:00,0.9423,105.0,1.0,0.0095,298.99
46,April,1,23:00:00,0.9857,70.0,0.0,0.0,328.16
47,April,1,23:30:00,1.0,46.0,0.0,0.0,290.85
48,April,2,00:00:00,1.0,44.0,0.0,0.0,294.68
49,April,2,00:30:00,1.0,36.0,0.0,0.0,452.25
50,April,2,01:00:00,1.0,26.0,0.0,0.0,505.65
51,April,2,01:30:00,1.0,18.0,1.0,0.0556,305.71
52,April,2,02:00:00,1.0,7.0,0.0,0.0,313.14
53,April,2,02:30:00,1.0,10.0,1.0,0.1,363.11
54,April,2,03:00:00,1.0,1.0,0.0,0.0,180.0
55,April,2,03:30:00,,0.0,0.0,,
56,April,2,04:00:00,1.0,1.0,0.0,0.0,364.0
57,April,2,04:30:00,,0.0,0.0,,
58,April,2,05:00:00,,0.0,0.0,,
59,April,2,05:30:00,,0.0,0.0,,
60,April,2,06:00:00,1.0,12.0,0.0,0.0,219.75
61,April,2,06:30:00,1.0,17.0,0.0,0.0,276.76
62,April,2,07:00:00,1.0,37.0,0.0,0.0,225.97
63,April,2,07:30:00,0.8308,66.0,1.0,0.0152,256.28
64,April,2,08:00:00,0.9344,124.0,2.0,0.0161,296.09
65,April,2,08:30:00,0.9897,194.0,0.0,0.0,294.23
66,April,2,09:00:00,0.9926,272.0,1.0,0.0037,277.9
67,April,2,09:30:00,0.932,309.0,0.0,0.0,281.37
68,April,2,10:00:00,0.9869,382.0,0.0,0.0,293.63
69,April,2,10:30:00,0.8546,396.0,4.0,0.0101,298.32
70,April,2,11:00:00,0.9893,466.0,0.0,0.0,322.6
71,April,2,11:30:00,0.9934,453.0,0.0,0.0,309.21
72,April,2,12:00:00,0.8961,497.0,6.0,0.0121,315.13
73,April,2,12:30:00,0.9394,462.0,0.0,0.0,306.85
74,April,2,13:00:00,0.9848,531.0,3.0,0.0056,329.52
75,April,2,13:30:00,0.9958,477.0,1.0,0.0021,305.36
76,April,2,14:00:00,0.982,499.0,0.0,0.0,306.94
77,April,2,14:30:00,0.9962,521.0,1.0,0.0019,312.21
78,April,2,15:00:00,0.9981,536.0,1.0,0.0019,326.56
79,April,2,15:30:00,0.9948,573.0,1.0,0.0017,338.87
80,April,2,16:00:00,0.9981,533.0,1.0,0.0019,308.02
81,April,2,16:30:00,1.0,474.0,2.0,0.0042,327.69
82,April,2,17:00:00,0.8399,540.0,9.0,0.0167,313.49
83,April,2,17:30:00,0.9321,503.0,2.0,0.004,333.23
84,April,2,18:00:00,0.9952,416.0,1.0,0.0024,316.82
85,April,2,18:30:00,0.9945,365.0,1.0,0.0027,293.95
86,April,2,19:00:00,0.9943,352.0,1.0,0.0028,283.64
87,April,2,19:30:00,0.9933,298.0,1.0,0.0034,347.68
88,April,2,20:00:00,0.9892,278.0,1.0,0.0036,315.09
89,April,2,20:30:00,0.9959,246.0,0.0,0.0,297.74
90,April,2,21:00:00,1.0,205.0,2.0,0.0098,302.35
91,April,2,21:30:00,1.0,153.0,2.0,0.0131,319.82
92,April,2,22:00:00,1.0,108.0,1.0,0.0093,319.38
93,April,2,22:30:00,1.0,114.0,0.0,0.0,273.52
94,April,2,23:00:00,1.0,74.0,0.0,0.0,295.86
95,April,2,23:30:00,1.0,65.0,0.0,0.0,312.23
96,April,3,00:00:00,1.0,42.0,0.0,0.0,384.0
97,April,3,00:30:00,1.0,45.0,0.0,0.0,439.24
98,April,3,01:00:00,1.0,20.0,0.0,0.0,383.6
99,April,3,01:30:00,1.0,21.0,0.0,0.0,359.29
100,April,3,02:00:00,1.0,12.0,0.0,0.0,235.75
101,April,3,02:30:00,1.0,8.0,0.0,0.0,153.25
102,April,3,03:00:00,1.0,2.0,0.0,0.0,123.0
103,April,3,03:30:00,,0.0,0.0,,
104,April,3,04:00:00,,0.0,0.0,,
105,April,3,04:30:00,1.0,3.0,0.0,0.0,283.33
106,April,3,05:00:00,1.0,1.0,0.0,0.0,209.0
107,April,3,05:30:00,,0.0,0.0,,
108,April,3,06:00:00,1.0,14.0,0.0,0.0,136.0
109,April,3,06:30:00,0.875,18.0,2.0,0.1111,290.13
110,April,3,07:00:00,0.95,40.0,0.0,0.0,168.38
111,April,3,07:30:00,1.0,72.0,0.0,0.0,224.83
112,April,3,08:00:00,1.0,101.0,0.0,0.0,263.99
113,April,3,08:30:00,0.9948,191.0,0.0,0.0,254.95
114,April,3,09:00:00,0.9846,260.0,0.0,0.0,283.3
115,April,3,09:30:00,0.8919,340.0,7.0,0.0206,289.53
116,April,3,10:00:00,0.772,390.0,4.0,0.0103,277.92
117,April,3,10:30:00,0.6425,471.0,15.0,0.0318,300.67
118,April,3,11:00:00,0.9674,491.0,0.0,0.0,298.46
119,April,3,11:30:00,0.9978,463.0,1.0,0.0022,310.52
120,April,3,12:00:00,0.9942,521.0,0.0,0.0,310.17
121,April,3,12:30:00,0.9961,511.0,1.0,0.002,337.11
122,April,3,13:00:00,1.0,508.0,3.0,0.0059,302.9
123,April,3,13:30:00,0.9778,547.0,7.0,0.0128,305.66
124,April,3,14:00:00,0.7335,551.0,7.0,0.0127,322.04
125,April,3,14:30:00,0.7949,593.0,8.0,0.0135,318.53
126,April,3,15:00:00,0.9903,518.0,2.0,0.0039,336.09
127,April,3,15:30:00,0.9279,518.0,5.0,0.0097,312.6
128,April,3,16:00:00,0.9485,507.0,2.0,0.0039,311.78
129,April,3,16:30:00,0.996,499.0,1.0,0.002,324.05
130,April,3,17:00:00,1.0,455.0,2.0,0.0044,330.42
131,April,3,17:30:00,0.9929,422.0,0.0,0.0,326.3
132,April,3,18:00:00,0.9895,382.0,0.0,0.0,319.56
133,April,3,18:30:00,0.9751,363.0,2.0,0.0055,316.32
134,April,3,19:00:00,0.9969,324.0,1.0,0.0031,308.99
135,April,3,19:30:00,0.8149,341.0,6.0,0.0176,315.59
136,April,3,20:00:00,0.773,288.0,6.0,0.0208,306.04
137,April,3,20:30:00,0.9747,237.0,0.0,0.0,310.29
138,April,3,21:00:00,1.0,205.0,1.0,0.0049,292.67
139,April,3,21:30:00,0.9822,171.0,2.0,0.0117,267.64
140,April,3,22:00:00,0.9612,132.0,3.0,0.0227,304.19
141,April,3,22:30:00,0.9919,124.0,1.0,0.0081,292.67
142,April,3,23:00:00,1.0,80.0,0.0,0.0,331.09
143,April,3,23:30:00,1.0,66.0,0.0,0.0,335.0
144,April,4,00:00:00,1.0,51.0,0.0,0.0,337.94
145,April,4,00:30:00,1.0,40.0,0.0,0.0,361.43
146,April,4,01:00:00,1.0,22.0,0.0,0.0,334.05
147,April,4,01:30:00,1.0,16.0,0.0,0.0,216.5
148,April,4,02:00:00,0.9333,18.0,3.0,0.1667,294.07
149,April,4,02:30:00,1.0,1.0,0.0,0.0,247.0
150,April,4,03:00:00,,0.0,0.0,,
151,April,4,03:30:00,1.0,1.0,0.0,0.0,222.0
152,April,4,04:00:00,,0.0,0.0,,
153,April,4,04:30:00,,0.0,0.0,,
154,April,4,05:00:00,1.0,2.0,0.0,0.0,392.5
155,April,4,05:30:00,1.0,2.0,0.0,0.0,230.5
156,April,4,06:00:00,1.0,12.0,0.0,0.0,180.67
157,April,4,06:30:00,1.0,25.0,1.0,0.04,242.17
158,April,4,07:00:00,1.0,17.0,0.0,0.0,239.12
159,April,4,07:30:00,1.0,73.0,0.0,0.0,281.19
160,April,4,08:00:00,1.0,119.0,0.0,0.0,270.08
