Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,13.69,0.66,0.048529,351.13,72.34,1.81,0.025041,294.88,125.94,1.76,0.013976,322.53,78.66,1.96,0.024953,300.69
August,1,0:30,10.92,0.0,0.0,358.94,43.46,0.0,0.0,334.86,93.83,0.23,0.0024,327.42,53.18,0.54,0.010112,308.27
August,1,1:00,8.66,0.44,0.050976,352.08,18.97,1.2,0.0634,365.35,70.52,1.14,0.016124,304.4,43.46,0.11,0.002559,311.04
August,1,1:30,5.23,0.36,0.068624,295.89,9.47,0.25,0.026141,282.17,61.59,0.75,0.012182,333.25,30.83,0.44,0.014324,307.24
August,1,2:00,4.52,0.27,0.058824,412.41,9.19,0.27,0.029412,310.25,35.73,0.64,0.017918,308.02,20.01,0.22,0.010812,315.72
August,1,2:30,4.76,0.0,0.0,341.78,6.0,0.0,0.0,335.59,26.69,0.0,0.0,339.04,11.08,0.0,0.0,400.69
August,1,3:00,3.96,0.0,0.0,426.98,6.27,0.0,0.0,339.94,20.54,0.73,0.035571,345.12,4.76,0.05,0.009806,407.72
August,1,3:30,4.16,0.0,0.0,587.04,5.19,0.0,0.0,236.1,23.25,0.0,0.0,290.76,0.58,0.0,0.007845,558.59
August,1,4:00,4.25,0.02,0.004706,457.12,4.31,0.0,0.0,294.81,18.61,0.16,0.0084,386.9,0.36,0.0,0.005884,754.28
August,1,4:30,3.84,0.08,0.021176,371.24,4.33,0.0,0.0,284.75,20.21,0.33,0.016529,319.29,0.91,0.0,0.003922,537.48
August,1,5:00,4.07,0.15,0.037647,334.76,4.95,0.0,0.0,255.67,21.64,0.0,0.0,422.67,0.74,0.0,0.001961,449.73
August,1,5:30,3.9,0.21,0.054118,262.72,3.91,0.0,0.0,243.9,26.0,0.0,0.0,306.86,1.54,0.0,0.0,382.65
August,1,6:00,5.12,0.43,0.083194,267.45,5.49,0.0,0.0,364.67,35.06,0.0,0.0,271.81,15.39,0.68,0.044118,260.2
August,1,6:30,7.08,1.15,0.162459,290.86,13.32,4.08,0.306294,355.35,62.04,0.65,0.010406,260.03,28.49,1.94,0.068012,290.04
August,1,7:00,12.87,0.95,0.074182,262.35,19.63,0.28,0.014324,302.23,114.2,0.82,0.007151,268.88,50.38,0.71,0.014147,257.07
August,1,7:30,22.93,1.69,0.073818,296.17,32.7,0.09,0.002676,305.54,184.57,1.77,0.009602,253.83,81.84,1.47,0.018018,287.29
August,1,8:00,72.65,0.75,0.010376,248.71,62.52,0.8,0.012835,283.06,321.46,1.14,0.003559,268.23,138.47,0.44,0.003212,277.88
August,1,8:30,116.47,0.32,0.002747,277.33,82.85,2.71,0.032765,305.78,462.89,3.76,0.008118,289.61,202.8,1.4,0.006924,271.24
August,1,9:00,163.92,0.69,0.004224,281.83,213.24,2.51,0.011794,282.86,644.5,3.84,0.005965,287.94,311.95,3.95,0.012665,280.93
August,1,9:30,193.49,2.0,0.010312,267.64,277.67,3.5,0.012618,303.04,777.28,18.67,0.024018,309.52,379.4,5.18,0.013641,272.72
August,1,10:00,241.52,1.83,0.007594,294.07,355.18,6.12,0.017224,306.51,966.78,5.32,0.005508,308.06,444.1,5.01,0.011276,287.24
August,1,10:30,294.16,1.05,0.003559,292.95,403.14,13.75,0.034112,316.09,1091.39,7.39,0.006769,320.39,522.63,18.14,0.034718,289.74
August,1,11:00,339.06,2.28,0.006724,301.68,466.94,6.55,0.014018,318.56,1174.42,8.7,0.007412,322.31,590.17,8.58,0.014535,297.26
August,1,11:30,342.2,5.63,0.016459,296.77,525.54,13.2,0.025124,321.83,1199.37,20.2,0.016843,329.27,610.14,10.03,0.016435,300.71
August,1,12:00,367.9,10.17,0.027653,301.09,540.13,7.94,0.0147,318.96,1219.1,15.8,0.012963,330.6,647.43,5.33,0.008235,310.72
August,1,12:30,398.72,14.82,0.03717,307.1,566.27,12.29,0.021706,320.15,1240.72,18.81,0.015159,329.83,664.65,19.53,0.029376,299.76
August,1,13:00,387.94,3.9,0.010046,305.43,593.05,17.38,0.0293,322.74,1210.62,14.09,0.011637,334.34,660.9,17.27,0.026124,309.11
August,1,13:30,385.56,1.04,0.002698,314.04,630.2,21.12,0.033518,316.11,1215.86,28.26,0.023245,330.98,676.29,16.51,0.024418,303.1
August,1,14:00,363.9,3.27,0.008985,313.15,643.8,28.47,0.044218,325.84,1220.27,20.22,0.016571,334.51,654.91,7.11,0.010859,304.63
August,1,14:30,372.39,5.75,0.015432,306.12,637.72,19.35,0.030347,330.7,1204.14,10.28,0.008541,329.93,675.9,21.64,0.032012,312.66
August,1,15:00,362.48,2.19,0.006054,305.88,620.72,10.59,0.017055,322.38,1132.68,1.09,0.000965,338.41,654.91,8.13,0.012412,296.99
August,1,15:30,362.0,2.34,0.00646,309.07,602.83,7.54,0.012509,318.38,1102.29,1.56,0.001412,336.64,612.63,5.48,0.008947,296.7
August,1,16:00,351.89,1.58,0.004494,327.96,600.35,4.93,0.008211,327.55,1067.68,1.67,0.001565,337.08,600.9,5.21,0.008665,307.31
August,1,16:30,319.27,0.65,0.002041,294.65,564.96,4.18,0.007395,335.3,982.67,1.01,0.001029,331.36,545.34,2.54,0.004659,307.49
August,1,17:00,302.71,6.56,0.021665,307.06,547.13,2.77,0.005067,330.38,923.91,2.59,0.0028,335.22,509.08,3.12,0.006129,305.07
August,1,17:30,256.77,5.08,0.019776,328.57,510.87,4.4,0.008621,328.13,889.86,1.11,0.001253,331.31,487.59,0.96,0.001971,305.3
August,1,18:00,248.37,1.67,0.006712,319.03,458.84,9.18,0.019999,339.63,839.73,2.54,0.003029,329.2,463.95,1.39,0.002994,303.34
August,1,18:30,208.08,2.26,0.010841,334.57,432.59,7.08,0.016378,328.33,763.71,4.37,0.005718,339.47,400.29,0.54,0.001353,325.03
August,1,19:00,158.56,0.65,0.004106,315.68,379.16,6.91,0.018226,325.24,694.66,7.12,0.010247,330.85,378.68,1.5,0.003971,316.24
August,1,19:30,125.71,1.31,0.010441,337.64,343.88,5.77,0.016793,313.43,619.03,14.85,0.023982,326.75,340.95,0.93,0.002735,318.05
August,1,20:00,94.79,1.63,0.017194,303.49,306.84,15.99,0.0521,319.15,554.23,7.38,0.013318,334.4,296.94,2.64,0.008882,305.77
August,1,20:30,80.06,4.1,0.051218,274.33,262.68,4.87,0.018547,303.45,469.7,3.59,0.007635,327.6,268.34,1.58,0.005894,297.52
August,1,21:00,57.09,1.96,0.034394,302.68,205.22,4.52,0.022047,306.48,398.59,2.5,0.006282,324.23,228.8,5.67,0.0248,300.39
August,1,21:30,42.3,2.02,0.047829,288.36,182.67,1.98,0.010835,303.24,319.05,0.7,0.002206,328.52,191.67,0.87,0.004565,308.48
August,1,22:00,31.83,0.34,0.010694,384.23,143.03,3.15,0.022053,292.6,265.2,0.91,0.003418,319.36,160.99,0.57,0.003535,295.07
August,1,22:30,21.4,1.32,0.061794,296.42,118.06,1.59,0.013453,314.69,225.5,0.39,0.001712,321.67,130.83,0.8,0.0061,299.84
August,1,23:00,19.67,1.34,0.068129,339.56,87.99,1.94,0.022018,296.47,168.99,0.43,0.002559,309.1,114.65,0.12,0.001053,301.17
August,1,23:30,12.06,0.0,0.0,256.71,73.2,0.68,0.009247,291.32,146.83,0.13,0.000853,312.18,89.95,0.75,0.008388,282.89
August,2,0:00,15.67,1.6,0.101856,420.65,93.5,2.75,0.029411,273.11,172.16,1.77,0.010256,292.52,112.36,0.51,0.004567,278.13
August,2,0:30,14.97,2.05,0.137039,365.74,70.31,2.86,0.040706,285.79,126.66,1.02,0.008067,326.87,78.48,0.0,0.0,299.1
August,2,1:00,15.64,1.74,0.111108,365.7,28.02,0.0,0.0,364.28,92.39,1.31,0.014144,306.38,60.02,0.37,0.006189,292.09
August,2,1:30,14.64,0.41,0.027778,366.94,20.82,0.33,0.015878,317.61,78.9,0.41,0.005211,277.51,45.63,0.16,0.003544,372.02
August,2,2:00,9.53,0.0,0.0,256.82,14.31,0.0,0.0,365.13,58.01,1.25,0.021539,310.1,36.11,0.46,0.01285,339.88
August,2,2:30,7.67,0.0,0.0,378.97,8.89,0.0,0.0,382.11,41.35,0.9,0.021828,328.32,24.19,1.79,0.074078,399.33
August,2,3:00,8.52,0.0,0.0,309.51,13.91,0.0,0.0,446.17,40.14,2.26,0.056328,331.21,8.79,0.49,0.055556,388.36
August,2,3:30,8.53,0.0,0.0,424.81,7.05,0.0,0.0,311.93,26.69,0.0,0.0,403.49,1.84,0.08,0.043981,277.79
August,2,4:00,8.08,0.0,0.0,346.35,6.79,0.0,0.0,359.71,29.25,0.0,0.0,429.88,1.31,0.04,0.032407,255.3
August,2,4:30,8.2,0.0,0.0,298.71,6.75,0.0,0.0,353.15,20.5,0.0,0.0,411.9,0.59,0.01,0.024306,283.47
August,2,5:00,9.83,0.0,0.0,273.73,7.54,0.0,0.0,480.08,30.8,0.0,0.0,358.79,2.06,0.03,0.016204,313.72
August,2,5:30,11.14,0.0,0.0,303.81,8.04,0.15,0.018517,301.56,30.03,0.0,0.0,270.89,1.62,0.02,0.015046,280.27
August,2,6:00,16.01,0.0,0.0,297.27,10.65,0.1,0.009258,367.44,52.82,0.23,0.004272,264.31,15.86,0.57,0.036111,246.63
August,2,6:30,10.9,0.0,0.0,291.33,12.13,0.0,0.0,340.44,75.81,2.3,0.030311,248.57,31.41,0.54,0.017194,273.19
August,2,7:00,23.07,0.0,0.0,274.54,20.18,0.0,0.0,288.84,128.99,2.2,0.017056,273.95,50.84,0.0,0.0,286.56
August,2,7:30,31.05,0.86,0.027778,359.57,29.04,0.88,0.030244,282.05,208.3,4.11,0.019715,256.38,91.25,1.04,0.011417,283.41
August,2,8:00,57.38,0.69,0.011994,244.24,54.94,0.2,0.003706,276.68,314.51,3.71,0.011786,269.3,133.89,1.7,0.012661,284.81
August,2,8:30,73.54,0.23,0.003089,285.64,79.15,0.45,0.0057,297.37,445.8,4.96,0.011117,277.18,184.54,0.37,0.001989,296.68
August,2,9:00,96.45,0.0,0.0,276.53,184.7,0.84,0.00455,294.9,576.42,4.62,0.008016,290.46,263.74,2.98,0.011294,298.0
August,2,9:30,116.61,0.46,0.003967,296.24,227.9,0.0,0.0,307.85,690.13,4.14,0.006003,284.96,308.35,1.43,0.004647,271.36
August,2,10:00,120.71,0.0,0.0,295.97,291.09,1.08,0.003717,296.79,844.23,4.02,0.004757,289.16,367.4,4.99,0.013572,284.97
August,2,10:30,173.26,0.0,0.0,267.83,325.49,3.17,0.00975,312.52,964.68,2.12,0.002199,296.89,450.32,16.68,0.037031,299.93
August,2,11:00,151.98,0.7,0.004633,288.33,355.73,2.43,0.006839,307.36,1035.32,2.15,0.002081,307.6,481.81,7.1,0.014733,288.51
August,2,11:30,168.01,0.44,0.002644,295.94,422.14,4.61,0.010917,303.61,1160.43,4.55,0.003918,308.83,521.93,5.15,0.009869,293.25
August,2,12:00,263.05,1.77,0.006733,287.25,459.52,3.56,0.007739,300.66,1255.03,2.01,0.0016,305.07,574.46,3.64,0.006344,289.55
August,2,12:30,298.43,4.58,0.015356,296.22,525.32,9.15,0.017422,303.21,1260.96,5.35,0.004239,304.96,580.1,3.27,0.005642,288.21
