Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,5.61,0.28,0.049292,364.03,31.27,0.75,0.024025,295.62,62.3,0.77,0.01229,318.53,41.3,0.73,0.017722,299.04
August,1,0:30,4.67,0.16,0.033894,333.31,19.89,0.21,0.010436,321.66,45.64,0.18,0.00402,326.8,28.81,0.19,0.006741,309.96
August,1,1:00,4.0,0.24,0.059653,364.26,8.64,0.32,0.036692,351.31,34.6,0.51,0.014778,309.21,22.63,0.06,0.002859,312.98
August,1,1:30,2.8,0.13,0.046058,322.77,4.74,0.1,0.021103,298.9,30.05,0.28,0.009292,319.13,16.37,0.19,0.011467,328.76
August,1,2:00,2.24,0.06,0.02882,359.77,4.07,0.06,0.01477,320.28,17.91,0.32,0.018016,303.43,10.71,0.17,0.016138,323.9
August,1,2:30,2.13,0.0,0.000736,344.93,2.62,0.0,0.001634,362.97,13.77,0.15,0.010576,328.0,6.46,0.15,0.023815,395.5
August,1,3:00,1.83,0.0,0.002575,398.83,3.02,0.0,0.001111,383.02,10.91,0.41,0.037606,336.15,2.66,0.07,0.025419,404.8
August,1,3:30,2.0,0.02,0.010853,527.48,2.09,0.0,1.5e-05,287.9,11.02,0.01,0.001149,323.97,0.45,0.01,0.019047,444.98
August,1,4:00,1.99,0.03,0.015404,438.19,1.93,0.0,0.002304,330.77,9.35,0.07,0.007711,387.33,0.29,0.0,0.016929,532.51
August,1,4:30,1.92,0.04,0.019199,369.08,1.96,0.0,0.002367,301.82,9.44,0.12,0.012781,351.52,0.47,0.01,0.017355,452.53
August,1,5:00,2.06,0.05,0.024098,332.99,2.13,0.0,0.001326,335.49,11.05,0.02,0.001656,375.66,0.53,0.0,0.009267,404.05
August,1,5:30,2.14,0.07,0.033595,303.61,1.81,0.01,0.007374,271.99,12.79,0.06,0.004348,295.48,0.89,0.0,0.004689,349.01
August,1,6:00,3.02,0.14,0.048013,282.34,2.85,0.03,0.011662,332.65,18.46,0.03,0.001625,267.89,7.96,0.31,0.038723,253.43
