Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7.89,0.21,0.026652,323.83,54.3,0.84,0.015424,303.17,86.07,0.66,0.007648,324.32,52.37,0.7,0.013366,311.22
August,1,0:30,6.49,0.15,0.022875,366.87,29.71,0.22,0.007364,319.87,73.56,0.36,0.004875,334.26,39.13,0.42,0.010676,318.54
August,1,1:00,4.92,0.11,0.021563,324.41,14.42,0.43,0.029612,350.92,52.24,0.42,0.008113,316.18,30.07,0.23,0.007502,325.61
August,1,1:30,3.01,0.12,0.040503,329.98,7.23,0.57,0.079375,286.81,45.66,0.36,0.007838,323.52,22.56,0.25,0.010931,324.5
August,1,2:00,2.71,0.12,0.043847,349.93,7.25,0.22,0.030815,302.44,29.98,0.4,0.013234,313.16,15.02,0.19,0.012929,333.35
August,1,2:30,2.73,0.07,0.025525,329.07,4.09,0.03,0.006825,320.28,21.36,0.32,0.014913,337.61,8.8,0.03,0.003857,342.15
August,1,3:00,2.44,0.0,0.0,304.05,4.16,0.01,0.002091,324.36,15.05,0.43,0.028318,314.61,3.74,0.11,0.028139,373.06
August,1,3:30,2.55,0.0,0.0,376.09,3.7,0.05,0.014465,285.96,17.76,0.28,0.015683,311.8,0.77,0.01,0.009658,368.31
August,1,4:00,2.56,0.0,0.001412,284.72,3.42,0.02,0.00513,280.51,12.87,0.23,0.018073,354.04,1.34,0.01,0.004128,428.21
August,1,4:30,2.21,0.02,0.009606,335.81,3.43,0.02,0.00715,250.16,14.25,0.27,0.018848,309.75,1.01,0.01,0.008359,773.09
August,1,5:00,2.53,0.03,0.011294,305.15,4.0,0.04,0.010775,263.07,16.04,0.09,0.005718,380.92,0.59,0.01,0.009284,420.28
August,1,5:30,2.04,0.05,0.024583,281.09,3.18,0.07,0.020776,337.31,19.56,0.28,0.01426,304.89,1.07,0.0,0.0,358.8
August,1,6:00,2.81,0.09,0.031365,267.09,4.15,0.0,5.8e-05,318.02,24.81,0.18,0.007142,274.72,11.03,0.2,0.01854,258.17
August,1,6:30,4.11,0.52,0.125503,277.65,9.38,3.69,0.39317,396.74,43.39,0.52,0.012037,268.16,20.19,1.13,0.055972,282.5
August,1,7:00,7.82,0.55,0.070758,278.62,15.16,0.22,0.014782,289.13,82.82,0.45,0.005469,269.14,37.56,0.48,0.01273,268.29
August,1,7:30,13.13,0.66,0.050441,290.51,23.71,0.02,0.000803,288.85,134.33,1.07,0.007954,268.24,57.36,0.62,0.010819,285.23
August,1,8:00,45.08,1.11,0.024522,272.92,49.08,0.35,0.007193,280.43,247.69,1.61,0.006492,283.08,100.85,0.84,0.008288,279.79
August,1,8:30,70.2,1.3,0.018586,288.27,67.03,1.2,0.017929,289.62,349.01,2.0,0.005725,295.39,152.38,1.54,0.010083,282.09
August,1,9:00,102.96,1.34,0.012968,293.35,145.69,1.67,0.011466,301.17,494.17,2.47,0.004995,302.44,231.19,2.57,0.011134,284.82
August,1,9:30,120.91,1.72,0.014201,296.67,214.2,2.75,0.012833,306.76,604.83,8.36,0.013825,309.12,279.83,3.47,0.012384,290.79
August,1,10:00,148.46,1.99,0.013386,308.72,277.82,4.23,0.015224,319.95,711.41,8.04,0.011297,319.59,316.55,4.25,0.013417,297.28
August,1,10:30,180.77,2.22,0.012261,307.0,320.0,8.84,0.02763,325.73,794.71,6.57,0.008262,328.44,378.6,9.87,0.026072,298.52
August,1,11:00,208.25,2.67,0.012828,311.18,360.34,6.52,0.018102,326.97,876.54,8.18,0.009338,330.32,433.03,7.26,0.016756,304.92
August,1,11:30,210.41,2.72,0.012934,311.07,409.21,8.99,0.021972,327.54,902.96,13.13,0.014546,332.94,443.53,7.24,0.016327,309.55
August,1,12:00,227.28,3.96,0.017403,313.11,423.17,8.07,0.019074,327.45,915.29,14.5,0.015845,334.22,471.93,5.19,0.011005,312.72
August,1,12:30,243.23,4.93,0.020258,316.6,446.39,9.35,0.020947,331.83,932.58,16.83,0.018049,336.63,486.67,9.33,0.019163,310.59
August,1,13:00,238.37,3.81,0.015979,317.5,472.8,11.82,0.024999,330.91,914.73,14.29,0.015622,338.12,484.02,12.4,0.025622,313.76
August,1,13:30,237.37,2.4,0.01009,321.18,497.87,13.9,0.02791,329.26,911.69,17.04,0.018687,338.39,492.71,14.52,0.029468,311.86
August,1,14:00,225.46,2.41,0.010689,318.4,508.97,15.98,0.031402,334.06,911.17,14.66,0.01609,340.95,477.41,9.49,0.019879,312.99
August,1,14:30,229.33,2.9,0.012626,318.8,502.69,11.55,0.022971,334.62,900.16,11.71,0.013005,338.4,493.52,13.79,0.027949,315.16
August,1,15:00,224.93,2.46,0.010921,318.73,489.41,8.75,0.01788,334.98,852.29,5.3,0.006218,342.04,476.9,7.64,0.016018,313.0
August,1,15:30,224.73,2.23,0.009932,317.58,481.48,6.2,0.012883,332.4,836.92,3.05,0.003644,340.73,446.1,6.21,0.013913,312.03
August,1,16:00,217.17,2.03,0.009342,323.83,478.81,4.9,0.010236,334.58,811.7,2.38,0.002932,343.01,442.2,5.12,0.011581,313.11
August,1,16:30,194.3,1.67,0.008606,313.39,445.71,3.7,0.008304,337.74,760.35,2.18,0.002863,340.99,402.03,3.21,0.007974,313.65
August,1,17:00,185.33,2.69,0.014496,314.34,427.35,3.25,0.007606,337.84,681.07,2.31,0.003394,342.1,374.85,2.93,0.007829,313.68
August,1,17:30,156.4,2.35,0.01504,325.16,402.94,3.52,0.008743,337.76,646.79,1.89,0.00293,339.84,363.04,2.72,0.007483,312.79
August,1,18:00,148.14,1.65,0.011118,323.32,366.35,4.84,0.013212,341.14,621.6,2.15,0.003463,339.23,334.48,1.79,0.005356,312.2
August,1,18:30,128.2,0.79,0.006149,326.89,325.82,4.79,0.014712,335.9,578.08,2.91,0.005041,339.61,295.54,1.52,0.005157,319.24
August,1,19:00,93.63,0.39,0.004128,323.93,304.24,4.88,0.016043,334.22,518.92,3.46,0.006677,339.19,276.97,1.72,0.006211,319.13
August,1,19:30,74.28,0.45,0.006029,327.81,270.81,4.23,0.015613,328.59,464.58,6.57,0.014142,339.7,251.41,1.6,0.006365,320.88
August,1,20:00,60.68,0.66,0.010859,320.27,239.22,6.56,0.02744,328.36,412.84,4.66,0.011284,337.47,226.01,1.86,0.008218,316.11
August,1,20:30,48.39,1.06,0.02183,308.75,214.94,4.07,0.018913,321.3,341.64,2.49,0.007301,333.23,198.31,1.66,0.008351,312.3
August,1,21:00,35.21,0.76,0.021694,314.07,164.11,2.82,0.017189,323.92,295.02,1.71,0.005798,333.2,169.68,2.63,0.01548,310.91
August,1,21:30,27.24,0.57,0.020871,313.05,138.09,1.75,0.012642,317.07,238.94,0.9,0.003761,329.6,140.45,1.36,0.009685,313.78
