Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,8.03,0.39,0.048529,351.13,53.8,1.35,0.025041,294.88,122.15,1.71,0.013976,322.53,54.76,1.37,0.024953,300.69
August,1,0:30,6.36,0.0,0.0,358.94,32.42,0.0,0.0,334.86,91.01,0.22,0.0024,327.42,37.02,0.37,0.010112,308.27
August,1,1:00,5.03,0.26,0.050976,352.08,14.07,0.89,0.0634,365.35,68.4,1.1,0.016124,304.4,30.26,0.08,0.002559,311.04
August,1,1:30,3.06,0.21,0.068624,295.89,7.04,0.18,0.026141,282.17,59.74,0.73,0.012182,333.25,21.46,0.31,0.014324,307.24
August,1,2:00,2.63,0.15,0.058824,412.41,6.87,0.2,0.029412,310.25,34.66,0.62,0.017918,308.02,13.93,0.15,0.010812,315.72
August,1,2:30,2.76,0.0,0.0,341.78,4.5,0.0,0.0,335.59,25.88,0.0,0.0,339.04,7.72,0.0,0.0,400.69
August,1,3:00,2.28,0.0,0.0,426.98,4.69,0.0,0.0,339.94,19.92,0.71,0.035571,345.12,3.31,0.03,0.009806,407.72
August,1,3:30,2.39,0.0,0.0,587.04,3.93,0.0,0.0,236.1,22.55,0.0,0.0,290.76,0.4,0.0,0.007845,558.59
August,1,4:00,2.42,0.01,0.004706,457.12,3.2,0.0,0.0,294.81,18.05,0.15,0.0084,386.9,0.25,0.0,0.005884,754.28
August,1,4:30,2.18,0.05,0.021176,371.24,3.22,0.0,0.0,284.75,19.6,0.32,0.016529,319.29,0.64,0.0,0.003922,537.48
August,1,5:00,2.31,0.09,0.037647,334.76,3.71,0.0,0.0,255.67,20.99,0.0,0.0,422.67,0.52,0.0,0.001961,449.73
August,1,5:30,2.21,0.12,0.054118,262.72,2.92,0.0,0.0,243.9,25.22,0.0,0.0,306.86,1.07,0.0,0.0,382.65
August,1,6:00,2.95,0.25,0.083194,267.45,4.13,0.0,0.0,364.67,34.01,0.0,0.0,271.81,10.71,0.47,0.044118,260.2
August,1,6:30,4.17,0.68,0.162459,290.86,9.87,3.02,0.306294,355.35,60.17,0.63,0.010406,260.03,19.83,1.35,0.068012,290.04
August,1,7:00,7.53,0.56,0.074182,262.35,14.61,0.21,0.014324,302.23,110.76,0.79,0.007151,268.88,35.07,0.5,0.014147,257.07
August,1,7:30,13.35,0.99,0.073818,296.17,24.43,0.07,0.002676,305.54,179.01,1.72,0.009602,253.83,56.97,1.03,0.018018,287.29
August,1,8:00,42.04,0.44,0.010376,248.71,46.64,0.6,0.012835,283.06,311.79,1.11,0.003559,268.23,96.39,0.31,0.003212,277.88
August,1,8:30,67.8,0.19,0.002747,277.33,61.81,2.03,0.032765,305.78,448.96,3.64,0.008118,289.61,141.17,0.98,0.006924,271.24
August,1,9:00,95.36,0.4,0.004224,281.83,159.05,1.88,0.011794,282.86,625.11,3.73,0.005965,287.94,217.16,2.75,0.012665,280.93
August,1,9:30,112.61,1.16,0.010312,267.64,207.88,2.62,0.012618,303.04,753.89,18.11,0.024018,309.52,264.11,3.6,0.013641,272.72
August,1,10:00,140.85,1.07,0.007594,294.07,265.54,4.57,0.017224,306.51,937.7,5.16,0.005508,308.06,309.15,3.49,0.011276,287.24
August,1,10:30,172.17,0.61,0.003559,292.95,301.9,10.3,0.034112,316.09,1058.56,7.16,0.006769,320.39,363.82,12.63,0.034718,289.74
August,1,11:00,198.79,1.34,0.006724,301.68,349.38,4.9,0.014018,318.56,1139.09,8.44,0.007412,322.31,410.83,5.97,0.014535,297.26
August,1,11:30,200.58,3.3,0.016459,296.77,393.49,9.89,0.025124,321.83,1163.29,19.59,0.016843,329.27,424.73,6.98,0.016435,300.71
August,1,12:00,215.64,5.96,0.027653,301.09,404.41,5.94,0.0147,318.96,1182.42,15.33,0.012963,330.6,450.68,3.71,0.008235,310.72
August,1,12:30,233.97,8.7,0.03717,307.1,424.36,9.21,0.021706,320.15,1203.39,18.24,0.015159,329.83,462.67,13.59,0.029376,299.76
August,1,13:00,227.38,2.28,0.010046,305.43,444.81,13.03,0.0293,322.74,1174.2,13.66,0.011637,334.34,460.06,12.02,0.026124,309.11
August,1,13:30,225.69,0.61,0.002698,314.04,472.54,15.84,0.033518,316.11,1179.28,27.41,0.023245,330.98,470.78,11.5,0.024418,303.1
August,1,14:00,213.09,1.91,0.008985,313.15,482.46,21.33,0.044218,325.84,1183.56,19.61,0.016571,334.51,455.89,4.95,0.010859,304.63
August,1,14:30,218.19,3.37,0.015432,306.12,478.36,14.52,0.030347,330.7,1167.92,9.98,0.008541,329.93,470.5,15.06,0.032012,312.66
August,1,15:00,212.33,1.29,0.006054,305.88,464.91,7.93,0.017055,322.38,1098.6,1.06,0.000965,338.41,455.89,5.66,0.012412,296.99
August,1,15:30,211.82,1.37,0.00646,309.07,453.22,5.67,0.012509,318.38,1069.13,1.51,0.001412,336.64,426.45,3.82,0.008947,296.7
August,1,16:00,205.55,0.92,0.004494,327.96,450.68,3.7,0.008211,327.55,1035.56,1.62,0.001565,337.08,418.29,3.62,0.008665,307.31
August,1,16:30,186.23,0.38,0.002041,294.65,423.68,3.13,0.007395,335.3,953.11,0.98,0.001029,331.36,379.62,1.77,0.004659,307.49
August,1,17:00,176.17,3.82,0.021665,307.06,410.46,2.08,0.005067,330.38,896.12,2.51,0.0028,335.22,354.38,2.17,0.006129,305.07
August,1,17:30,148.83,2.94,0.019776,328.57,383.58,3.31,0.008621,328.13,863.09,1.08,0.001253,331.31,339.42,0.67,0.001971,305.3
August,1,18:00,143.49,0.96,0.006712,319.03,344.36,6.89,0.019999,339.63,814.46,2.47,0.003029,329.2,322.96,0.97,0.002994,303.34
August,1,18:30,120.54,1.31,0.010841,334.57,324.74,5.32,0.016378,328.33,740.73,4.24,0.005718,339.47,278.64,0.38,0.001353,325.03
August,1,19:00,92.08,0.38,0.004106,315.68,284.33,5.18,0.018226,325.24,673.76,6.9,0.010247,330.85,263.6,1.05,0.003971,316.24
August,1,19:30,73.08,0.76,0.010441,337.64,257.84,4.33,0.016793,313.43,600.41,14.4,0.023982,326.75,237.34,0.65,0.002735,318.05
August,1,20:00,55.04,0.95,0.017194,303.49,230.22,11.99,0.0521,319.15,537.55,7.16,0.013318,334.4,206.69,1.84,0.008882,305.77
August,1,20:30,46.79,2.4,0.051218,274.33,196.72,3.65,0.018547,303.45,455.57,3.48,0.007635,327.6,186.79,1.1,0.005894,297.52
August,1,21:00,33.31,1.15,0.034394,302.68,154.2,3.4,0.022047,306.48,386.6,2.43,0.006282,324.23,159.27,3.95,0.0248,300.39
August,1,21:30,24.49,1.17,0.047829,288.36,137.02,1.48,0.010835,303.24,309.45,0.68,0.002206,328.52,133.43,0.61,0.004565,308.48
August,1,22:00,18.51,0.2,0.010694,384.23,107.42,2.37,0.022053,292.6,257.22,0.88,0.003418,319.36,112.07,0.4,0.003535,295.07
August,1,22:30,12.43,0.77,0.061794,296.42,88.48,1.19,0.013453,314.69,218.72,0.37,0.001712,321.67,91.07,0.56,0.0061,299.84
August,1,23:00,11.38,0.78,0.068129,339.56,65.82,1.45,0.022018,296.47,163.91,0.42,0.002559,309.1,79.81,0.08,0.001053,301.17
August,1,23:30,6.85,0.0,0.0,256.71,54.87,0.51,0.009247,291.32,142.41,0.12,0.000853,312.18,62.61,0.53,0.008388,282.89
August,2,0:00,6.81,0.69,0.101856,420.65,59.26,1.74,0.029411,273.11,80.77,0.83,0.010256,292.52,55.64,0.25,0.004567,278.13
August,2,0:30,6.56,0.9,0.137039,365.74,44.6,1.82,0.040706,285.79,59.39,0.48,0.008067,326.87,38.86,0.0,0.0,299.1
August,2,1:00,6.7,0.74,0.111108,365.7,17.51,0.0,0.0,364.28,43.34,0.61,0.014144,306.38,29.72,0.18,0.006189,292.09
